Filas_Entrenamiento;GALAXY_F1_Porcentaje;QSO_F1_Porcentaje;STAR_F1_Porcentaje
5000;92.66409266409266;78.72397945390645;78.00387596899225
10000;93.1025957972806;79.36254980079681;79.51219512195122
20000;93.29922429443802;80.65799946935527;80.47653780695356
40000;93.65000824674253;80.63576158940397;80.75140278116614
70000;93.75825627476883;81.27659574468085;81.68604651162791
