Configuracion;GALAXIA;CUÁSAR;ESTRELLA
"Top 1
Arboles:100
Aprendizaje:0.1
Profundidad:9";93.5969556585043;80.87489997332622;81.04732164304588
"Top 2
Arboles:100
Aprendizaje:0.2
Profundidad:6";93.45469590401324;81.01333333333334;80.81632653061224
"Top 3
Arboles:200
Aprendizaje:0.1
Profundidad:9";93.58496813177717;81.21341138903672;81.27853881278538
"Top 4
Arboles:200
Aprendizaje:0.2
Profundidad:6";93.5067086301143;81.58035237586759;81.24401913875599
"Top 5
Arboles:300
Aprendizaje:0.1
Profundidad:6";93.5307743216413;81.08974358974359;81.04606525911709
