Cuerpo Celeste;Random Forest;XGBoost
GALAXIA;93.30471394369685;93.17674303200728
CUÁSAR;81.30469371519492;81.22259136212625
ESTRELLA;80.61224489795919;80.88749547811406
MEDIA GLOBAL (MACRO);85.07388418561699;85.09560995741587
