Filas_Entrenamiento;GALAXY_Solo_Bandas;GALAXY_Con_Indices;QSO_Solo_Bandas;QSO_Con_Indices;STAR_Solo_Bandas;STAR_Con_Indices
5000;90.68911959453936;92.66409266409266;77.12836936215639;78.72397945390645;70.79601990049751;78.00387596899225
10000;91.33355176933159;93.1025957972806;77.89585547290116;79.36254980079681;73.13803376365442;79.51219512195122
20000;91.86256781193491;93.29922429443802;79.6908315565032;80.65799946935527;75.64919157275845;80.47653780695356
40000;92.5974666886001;93.65000824674253;80.63745019920319;80.63576158940397;77.50797154770665;80.75140278116614
70000;92.88482150218485;93.75825627476883;80.41346408693347;81.27659574468085;78.62371888726209;81.68604651162791
