Filas_Entrenamiento;GALAXY_F1_Porcentaje;QSO_F1_Porcentaje;STAR_F1_Porcentaje
5000;92.37749546279493;77.7867746288799;77.78576563623292
10000;93.01902398676593;79.24827951296982;79.18683446272992
20000;93.02902505581741;80.09541478929233;79.77745524915336
40000;93.3090728641138;80.40307610713339;81.00531657805703
70000;93.36751571286801;81.02756221568103;81.22752337568929
