Filas_Entrenamiento;GALAXY_Solo_Bandas;GALAXY_Con_Indices;QSO_Solo_Bandas;QSO_Con_Indices;STAR_Solo_Bandas;STAR_Con_Indices
5000;90.7030223390276;92.37749546279493;77.43128964059197;77.7867746288799;70.99009900990099;77.78576563623292
10000;91.48743304491141;93.01902398676593;78.58835923097182;79.24827951296982;73.89380530973452;79.18683446272992
20000;91.67558666117745;93.02902505581741;78.87622581500132;80.09541478929233;74.57128858402744;79.77745524915336
40000;92.35085403086063;93.3090728641138;79.9576943416182;80.40307610713339;76.89680409856062;81.00531657805703
70000;92.40297274979355;93.36751571286801;79.60701009028146;81.02756221568103;76.1396702230844;81.22752337568929
